polling_unit_id,source_file,draft_province,draft_district,draft_subdistrict_or_municipality,draft_municipality,draft_moo,draft_unit_number,official_province,official_district,official_subdistrict,official_municipality,official_moo,lat,lon,tambon_code,amphoe_code,province_code,location_verified,tambon_verified,tambon_lat,tambon_lon,verification_source,verification_note,needs_location_review,location_review_reason,location_confidence,path_header_unit_match,path_header_locality_match,province_expected_match,district_expected_match,missing_moo,header_unit_number,header_moo,header_locality,header_district,header_constituency_number,header_province,has_markdown,path_local_government,path_local_government_type,path_local_government_name,path_unit_number,path_folder,pdf_path
ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_10_0001,ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_10_0001.pdf,,,นิคมทุ่งโพธิ์ทะเล,ทต.นิคมทุ่งโพธิ์ทะเล,,10.0,กำแพงเพชร,เมืองกำแพงเพชร,นิคมทุ่งโพธิ์ทะเล,,,,,,,,False,True,16.47,99.7,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทต.นิคมทุ่งโพธิ์ทะเล,ทต,นิคมทุ่งโพธิ์ทะเล,10.0,,
ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_11_0001,ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_11_0001.pdf,,,นิคมทุ่งโพธิ์ทะเล,ทต.นิคมทุ่งโพธิ์ทะเล,,11.0,กำแพงเพชร,เมืองกำแพงเพชร,นิคมทุ่งโพธิ์ทะเล,,,,,,,,False,True,16.47,99.7,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทต.นิคมทุ่งโพธิ์ทะเล,ทต,นิคมทุ่งโพธิ์ทะเล,11.0,,
ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_12_0001,ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_12_0001.pdf,,,นิคมทุ่งโพธิ์ทะเล,ทต.นิคมทุ่งโพธิ์ทะเล,,12.0,กำแพงเพชร,เมืองกำแพงเพชร,นิคมทุ่งโพธิ์ทะเล,,,,,,,,False,True,16.47,99.7,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทต.นิคมทุ่งโพธิ์ทะเล,ทต,นิคมทุ่งโพธิ์ทะเล,12.0,,
ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_13_0001,ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_13_0001.pdf,,,นิคมทุ่งโพธิ์ทะเล,ทต.นิคมทุ่งโพธิ์ทะเล,,13.0,กำแพงเพชร,เมืองกำแพงเพชร,นิคมทุ่งโพธิ์ทะเล,,,,,,,,False,True,16.47,99.7,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทต.นิคมทุ่งโพธิ์ทะเล,ทต,นิคมทุ่งโพธิ์ทะเล,13.0,,
ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_14_0001,ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_14_0001.pdf,,,นิคมทุ่งโพธิ์ทะเล,ทต.นิคมทุ่งโพธิ์ทะเล,,14.0,กำแพงเพชร,เมืองกำแพงเพชร,นิคมทุ่งโพธิ์ทะเล,,,,,,,,False,True,16.47,99.7,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทต.นิคมทุ่งโพธิ์ทะเล,ทต,นิคมทุ่งโพธิ์ทะเล,14.0,,
ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_15_0001,ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_15_0001.pdf,,,นิคมทุ่งโพธิ์ทะเล,ทต.นิคมทุ่งโพธิ์ทะเล,,15.0,กำแพงเพชร,เมืองกำแพงเพชร,นิคมทุ่งโพธิ์ทะเล,,,,,,,,False,True,16.47,99.7,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทต.นิคมทุ่งโพธิ์ทะเล,ทต,นิคมทุ่งโพธิ์ทะเล,15.0,,
ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_16_0001,ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_16_0001.pdf,,,นิคมทุ่งโพธิ์ทะเล,ทต.นิคมทุ่งโพธิ์ทะเล,,16.0,กำแพงเพชร,เมืองกำแพงเพชร,นิคมทุ่งโพธิ์ทะเล,,,,,,,,False,True,16.47,99.7,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทต.นิคมทุ่งโพธิ์ทะเล,ทต,นิคมทุ่งโพธิ์ทะเล,16.0,,
ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_1_0001,ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_1_0001.pdf,,,นิคมทุ่งโพธิ์ทะเล,ทต.นิคมทุ่งโพธิ์ทะเล,,1.0,กำแพงเพชร,เมืองกำแพงเพชร,นิคมทุ่งโพธิ์ทะเล,,,,,,,,False,True,16.47,99.7,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทต.นิคมทุ่งโพธิ์ทะเล,ทต,นิคมทุ่งโพธิ์ทะเล,1.0,,
ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_2_0001,ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_2_0001.pdf,,,นิคมทุ่งโพธิ์ทะเล,ทต.นิคมทุ่งโพธิ์ทะเล,,2.0,กำแพงเพชร,เมืองกำแพงเพชร,นิคมทุ่งโพธิ์ทะเล,,,,,,,,False,True,16.47,99.7,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทต.นิคมทุ่งโพธิ์ทะเล,ทต,นิคมทุ่งโพธิ์ทะเล,2.0,,
ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_3_0001,ทต_น_คมท_งโพธ_ทะเล_20260507T101004Z_3_001_ทต_น_คมท_งโพธ_ทะเล_หน_วยท_3_0001.pdf,,,นิคมทุ่งโพธิ์ทะเล,ทต.นิคมทุ่งโพธิ์ทะเล,,3.0,กำแพงเพชร,เมืองกำแพงเพชร,นิคมทุ่งโพธิ์ทะเล,,,,,,,,False,True,16.47,99.7,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary,True,missing_markdown;missing_moo,0.35,True,True,True,True,True,,,,,,,False,ทต.นิคมทุ่งโพธิ์ทะเล,ทต,นิคมทุ่งโพธิ์ทะเล,3.0,,
