official_subdistrict,tambon_lat,tambon_lon,distance_to_center_km,n_polling_units,distance_score,density_score,urbanization_index,urban_class
ในเมือง,16.4839,99.5312,0.0,37.0,1.0,0.9276125895432153,0.9710450358172862,urban
หนองปลิง,16.51,99.52,3.138249141163803,17.0,0.8772920304933368,0.6287677132370129,0.7778823035908072,urban
นิคมทุ่งโพธิ์ทะเล,16.47,99.7,18.06514553654268,16.0,0.293638832381088,0.6099942813304187,0.42018101196082025,peri-urban
นครชุม,16.4752,99.5116,2.3029338510618835,25.0,0.9099535046260961,0.7624928516630234,0.8509692434408671,urban
อ่างทอง,16.3442,99.5196,15.583129078742173,26.0,0.3906875962360429,0.777593185920953,0.545449832110007,peri-urban
นาบ่อคำ,16.49,99.3,24.660584756068893,21.0,0.0357520559562744,0.6988362419217079,0.30098573034244785,rural
ทรงธรรม,16.5189,99.4042,14.088332730841918,43.0,0.4491352899742125,1.0,0.6694811739845274,urban
ลานดอกไม้,16.5988,99.4552,15.128156787103173,,0.4084773648546399,0.15249857033260467,0.3060858470458258,rural
คณฑี,16.363,99.6541,18.776404567715684,14.0,0.2658280539557175,0.5705974021574557,0.38773579323641283,peri-urban
เทพนคร,16.43,99.61,10.32156374444082,26.0,0.5964188717202243,0.777593185920953,0.6688885974005158,urban
วังทอง,16.2937,99.3964,25.574941495494247,13.0,0.0,0.5498414147691576,0.21993656590766306,rural
ท่าขุนราม,16.449,99.4335,11.117475848089233,13.0,0.5652980926643413,0.5498414147691576,0.5591154215062678,peri-urban
คลองแม่ลาย,16.4047,99.42,14.77142469928797,16.0,0.42242586549453587,0.6099942813304187,0.497453231828889,peri-urban
ธำมรงค์,16.33,99.62,19.559413557063227,6.0,0.2352117966522358,0.3735436838188142,0.29054455151886716,rural
ไตรตรึงษ์,16.363,99.555,13.681029635707864,,0.46506115612744736,0.15249857033260467,0.34003612180951026,peri-urban
สระแก้ว,16.54,99.585,8.474076020439167,,0.668657071143951,0.15249857033260467,0.4621936708194125,peri-urban
