official_subdistrict,tambon_lat,tambon_lon,distance_to_center_km,gov_type,osm_poi_count_3km,osm_urbanization_index,osm_urban_class
ในเมือง,16.4839,99.5312,0.0,urban,120,1.0,urban
หนองปลิง,16.51,99.52,3.138249141163803,urban,42,0.3275862068965517,peri-urban
นิคมทุ่งโพธิ์ทะเล,16.47,99.7,18.06514553654268,peri-urban,15,0.09482758620689655,rural
นครชุม,16.4752,99.5116,2.3029338510618835,peri-urban,28,0.20689655172413793,peri-urban
อ่างทอง,16.3442,99.5196,15.583129078742173,rural,7,0.02586206896551724,rural
นาบ่อคำ,16.49,99.3,24.660584756068893,rural,6,0.017241379310344827,rural
ทรงธรรม,16.5189,99.4042,14.088332730841918,rural,8,0.034482758620689655,rural
ลานดอกไม้,16.5988,99.4552,15.128156787103173,rural,6,0.017241379310344827,rural
คณฑี,16.363,99.6541,18.776404567715684,rural,6,0.017241379310344827,rural
เทพนคร,16.43,99.61,10.32156374444082,peri-urban,12,0.06896551724137931,rural
วังทอง,16.2937,99.3964,25.574941495494247,rural,5,0.008620689655172414,rural
ท่าขุนราม,16.449,99.4335,11.117475848089233,rural,7,0.02586206896551724,rural
คลองแม่ลาย,16.4047,99.42,14.77142469928797,peri-urban,10,0.05172413793103448,rural
ธำมรงค์,16.33,99.62,19.559413557063227,rural,4,0.0,rural
ไตรตรึงษ์,16.363,99.555,13.681029635707864,rural,5,0.008620689655172414,rural
สระแก้ว,16.54,99.585,8.474076020439167,rural,5,0.008620689655172414,rural
