path_local_government,official_province,official_district,official_subdistrict,tambon_verified,tambon_lat,tambon_lon,verification_source,verification_note
ทม.กำแพงเพชร,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ตำบลในเมือง,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,True,16.4839,99.5312,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ทม.หนองปลิง,กำแพงเพชร,เมืองกำแพงเพชร,หนองปลิง,True,16.5100,99.5200,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ตำบลหนองปลิง,กำแพงเพชร,เมืองกำแพงเพชร,หนองปลิง,True,16.5100,99.5200,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ทต.นิคมทุ่งโพธิ์ทะเล,กำแพงเพชร,เมืองกำแพงเพชร,นิคมทุ่งโพธิ์ทะเล,True,16.4700,99.7000,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ทต.นครชุม,กำแพงเพชร,เมืองกำแพงเพชร,นครชุม,True,16.4752,99.5116,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ตำบลนครชุม,กำแพงเพชร,เมืองกำแพงเพชร,นครชุม,True,16.4752,99.5116,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ตำบลอ่างทอง,กำแพงเพชร,เมืองกำแพงเพชร,อ่างทอง,True,16.3442,99.5196,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ตำบลนาบ่อคำ,กำแพงเพชร,เมืองกำแพงเพชร,นาบ่อคำ,True,16.4900,99.3000,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ตำบลทรงธรรม,กำแพงเพชร,เมืองกำแพงเพชร,ทรงธรรม,True,16.5189,99.4042,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ตำบลลานดอกไม้,กำแพงเพชร,เมืองกำแพงเพชร,ลานดอกไม้,True,16.5988,99.4552,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ตำบลคณฑี,กำแพงเพชร,เมืองกำแพงเพชร,คณฑี,True,16.3630,99.6541,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ทต.เทพนคร,กำแพงเพชร,เมืองกำแพงเพชร,เทพนคร,True,16.4300,99.6100,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ตำบลวังทอง,กำแพงเพชร,เมืองกำแพงเพชร,วังทอง,True,16.2937,99.3964,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ตำบลท่าขุนราม,กำแพงเพชร,เมืองกำแพงเพชร,ท่าขุนราม,True,16.4490,99.4335,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ทต.คลองแม่ลาย,กำแพงเพชร,เมืองกำแพงเพชร,คลองแม่ลาย,True,16.4047,99.4200,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ตำบลคลองแม่ลาย,กำแพงเพชร,เมืองกำแพงเพชร,คลองแม่ลาย,True,16.4047,99.4200,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ตำบลธำมรงค์,กำแพงเพชร,เมืองกำแพงเพชร,ธำมรงค์,True,16.3300,99.6200,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
อบต.ไตรตรึงษ์,กำแพงเพชร,เมืองกำแพงเพชร,ไตรตรึงษ์,True,16.3630,99.5550,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
ทต.ปากดง,กำแพงเพชร,เมืองกำแพงเพชร,ไตรตรึงษ์,True,16.3630,99.5550,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
อบต.สระแก้ว,กำแพงเพชร,เมืองกำแพงเพชร,สระแก้ว,True,16.5400,99.5850,User-provided approximate tambon centroid,Tambon mapping from source folder/name; coordinates are approximate centroid/reference point not official GIS boundary
